field,name
target_id,目标ID
keyword,目标名称
target_coordinate,目标坐标
title,标题
fully_match,是否完全匹配
address,地址
coordinate,坐标
auction_type,拍卖类型
status,拍卖状态
auction_time,拍卖次数
consult_price,评估价/市场价
init_price,起拍价
current_price,当前价格
attachment,附件
start_time,开始时间
end_time,结束时间
item_url,结果参考URL
img_url,图片URL
notice,公告详情
caution,注意
notice_url,公告参考URL
disposal_unit,处置单位
land_area,土地面积
built_area,建筑面积
land_cert,土地产权证
land_nature,土地性质
land_usage,土地用途
land_termination_date,土地使用权终止日
house_cert,房屋产权证
house_usage,房屋用途
others,其他
