id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,浙江省,舟山市,,岱东镇丰收站,,,,,,,,,,,,,,,,
1,浙江省,舟山市,,岱东镇北一村兴乐路3号,岱东镇北一村兴乐路,,,,,,,,,,,,,,,
2,上海市,上海市,普陀区,勾山街道三岔路8号和津广场3区,勾山街道三岔路8号和津广场,勾山街道三岔路,,,,,,,,,,,,,,
3,浙江省,舟山市,岱山县,经济开发区高亭镇徐福大道252号,经济开发区高亭镇徐福大道,,,,,,,,,,,,,,,
4,浙江省,舟山市,岱山县,用地，位于岱山县岱西镇前岸临港工业s号,,,,,,,,,,,,,,,,
5,浙江省,舟山市,岱山县,司名下位于岱山县岱西镇前岸临港工业s号,,,,,,,,,,,,,,,,
6,浙江省,舟山市,岱山县,岱西镇仇家门北堤,,,,,,,,,,,,,,,,
7,浙江省,舟山市,岱山县,东沙镇新道头,,,,,,,,,,,,,,,,
8,广东省,江门市,,岱西镇仇江门北侧,,,,,,,,,,,,,,,,
9,广东省,江门市,,岱西镇仇江门北侧,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
11,浙江省,舟山市,定海区,半岛路1号,半岛路,,,,,,,,,,,,,,,
12,浙江省,舟山市,定海区,解放西路135号内街商场130号,解放西路135号内街商场,解放西路,,,,,,,,,,,,,,
13,河南省,舟山市,定海区,东河南路,,,,,,,,,,,,,,,,
14,,,,徐福大道,,,,,,,,,,,,,,,,
15,浙江省,舟山市,岱山县,岱西镇前岸村,,,,,,,,,,,,,,,,
16,浙江省,舟山市,普陀区,六横镇润都嘉苑6号楼,六横镇润都嘉苑,,,,,,,,,,,,,,,
17,浙江省,舟山市,岱山县,东沙镇兴业路9号,东沙镇兴业路,,,,,,,,,,,,,,,
18,浙江省,舟山市,岱山县,东沙镇兴业路9号,东沙镇兴业路,,,,,,,,,,,,,,,
19,浙江省,舟山市,普陀区,沈家门新开小区11号,沈家门新开小区,,,,,,,,,,,,,,,
20,浙江省,舟山市,普陀区,沈家门滨港路23号,沈家门滨港路,,,,,,,,,,,,,,,
21,浙江省,舟山市,,盘峙东山头海岛,,,,,,,,,,,,,,,,
22,浙江省,舟山市,定海区,北蝉新港工业园区2008-gb10号,北蝉新港工业园区2008-gb,北蝉新港工业园区,,,,,,,,,,,,,,
23,广东省,江门市,岱山县,岱西镇仇江门,,,,,,,,,,,,,,,,
24,广东省,江门市,岱山县,岱西镇仇江门,,,,,,,,,,,,,,,,
25,广东省,江门市,岱山县,岱西镇仇江门,,,,,,,,,,,,,,,,
26,,,,人民北路s184,人民北路s,,,,,,,,,,,,,,,
27,浙江省,舟山市,定海区,解放西路55-57号,解放西路55-,解放西路,,,,,,,,,,,,,,
28,上海市,上海市,普陀区,东港海印路华荣公寓13号-23号,东港海印路华荣公寓13号-,东港海印路华荣公寓,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,浙江省,舟山市,定海区,兴舟大道390号,兴舟大道,,,,,,,,,,,,,,,
