id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
d0,展茅镇丰岛工业园区房地产展茅街道富丹路1号,展茅镇丰岛工业园区房地产展茅街道富丹路,展茅镇丰岛工业园区房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,沈家门街道东海中路1148号,沈家门街道东海中路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,沈家门街道东海中路1146号,沈家门街道东海中路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,沈家门街道天吴路17号福邸雅居1幢201室,沈家门街道天吴路17号福邸雅居1幢,沈家门街道天吴路17号福邸雅居,沈家门街道天吴路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,沈家门街道天吴路17号福邸雅居1幢202室,沈家门街道天吴路17号福邸雅居1幢,沈家门街道天吴路17号福邸雅居,沈家门街道天吴路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,沈家门街道天吴路17号福邸雅居1幢203室,沈家门街道天吴路17号福邸雅居1幢,沈家门街道天吴路17号福邸雅居,沈家门街道天吴路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,经济开发区新港园区大成七路190号债权舟山旭华金属材料有限公司的共同抵押物不分先后,经济开发区新港园区大成七路190号债权舟山旭华金属材料有限公司的共同抵押物,经济开发区新港园区大成七路190号,经济开发区新港园区大成七路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7,经济开发区新港园区大成七路190号债权中船重工装备有限公司的共同抵押物不分先后,经济开发区新港园区大成七路190号债权中船重工装备有限公司的共同抵押物,经济开发区新港园区大成七路190号,经济开发区新港园区大成七路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8,颜家峧路31号1幢204室,颜家峧路31号1幢,颜家峧路31号,颜家峧路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9,岱东镇丰收站的工业房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da,岱东镇北一村兴乐路3号的工业房地产,岱东镇北一村兴乐路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db,经济开发区高亭镇徐福大道252号,经济开发区高亭镇徐福大道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc,机器设备,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd,岱西镇前岸临港工业3号,岱西镇前岸临港工业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,机器设备,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df,岱西镇前岸临港工业3号,岱西镇前岸临港工业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dg,岱西镇仇家门北堤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh,东沙镇新道头的土地使用权,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du,东沙镇桥头岱北工业基地的工业房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di,岱西镇仇家门北堤属岱西前岸临港工业基地,岱西镇仇家门北堤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
